EncoderAtt,DecoderAtt,B,H,lr,Optimizer,Epoch,UnseenCnt,MissedClass,WrongCount,UnseenClass
false,false,8,128,0.01,Rmsprop,30,15,1,34,8
false,false,4,256,0.01,Rmsprop,20,19,1,35,8
true,false,8,128,0.001,Rmsprop,20,12,1,50,8
false,false,2,256,0.001,Adam,10,12,2,0,7
true,false,1,256,0.01,Adam,20,21,2,0,7
true,false,1,256,0.01,Adam,30,20,2,0,7
true,false,4,256,0.01,Adam,10,11,2,0,7
true,false,4,256,0.01,Rmsprop,30,15,2,0,7
true,false,1,128,0.01,Adam,30,13,2,0,7
true,false,2,128,0.01,Adam,30,15,2,0,7
true,false,4,128,0.01,Adam,30,17,2,0,7
true,false,4,128,0.01,Rmsprop,20,15,2,0,7
false,false,1,256,0.001,Adam,10,21,2,1,7
false,false,16,256,0.001,Adam,10,17,2,1,7
true,false,2,256,0.01,Adam,20,27,2,1,7
false,false,2,128,0.001,Adam,20,18,2,1,7
true,false,2,128,0.1,Adam,20,17,2,1,7
false,false,4,128,0.1,SGD,30,24,2,1,7
true,false,4,128,0.1,SGD,30,14,2,1,7
false,false,8,128,0.1,SGD,20,17,2,1,7
true,false,16,128,0.1,SGD,30,18,2,1,7
false,false,2,256,0.001,Adam,20,14,2,2,7
false,false,1,256,0.001,Rmsprop,10,13,2,2,7
true,false,8,256,0.1,Rmsprop,30,27,2,2,7
false,false,1,128,0.001,Adam,20,15,2,2,7
true,false,16,128,0.01,Rmsprop,20,30,2,2,7
false,false,1,128,0.1,SGD,30,18,2,2,7
false,false,8,256,0.001,Adam,20,19,2,3,7
false,false,1,256,0.001,Rmsprop,20,13,2,3,7
false,false,2,256,0.001,Rmsprop,10,18,2,3,7
false,false,4,256,0.001,Rmsprop,10,17,2,3,7
false,false,8,256,0.001,Rmsprop,10,13,2,3,7
true,false,2,256,0.01,Rmsprop,30,18,2,3,7
true,false,8,256,0.01,Rmsprop,10,15,2,3,7
true,false,1,256,0.1,SGD,30,16,2,3,7
false,false,16,128,0.001,Adam,20,20,2,3,7
false,false,2,256,0.001,Adam,30,16,2,4,7
false,false,4,256,0.001,Adam,30,16,2,4,7
false,false,16,256,0.001,Rmsprop,20,20,2,4,7
true,false,1,128,0.01,Rmsprop,10,18,2,4,7
false,false,1,128,0.1,SGD,20,16,2,4,7
true,false,16,128,0.1,SGD,20,16,2,4,7
false,false,1,256,0.001,Adam,30,18,2,5,7
true,false,1,128,0.1,Adam,20,23,2,5,7
false,false,16,128,0.001,Rmsprop,20,15,2,5,7
